Wafer,metric,n_center,n_edge,center_median,edge_median,center_CV_pct,edge_CV_pct,delta_center_minus_edge
D07,PeakIL_near_1310_dB,4,10,-10.802835631370545,-10.868134951591491,7.732361701822279,10.042061583283884,0.0652993202209462
D08,PeakIL_near_1310_dB,8,20,-8.37882872074874,-9.894762779785843,23.488070274160695,20.235682661714417,1.5159340590371038
D23,PeakIL_near_1310_dB,8,20,-7.112287545204163,-8.149636459350585,1.963782861435693,14.298780061339208,1.0373489141464223
D24,PeakIL_near_1310_dB,8,20,-6.901943802833557,-8.538758683204652,2.843099744654954,10.264990671128116,1.6368148803710945
