Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,PortLabel,Length_um,PeakIL_dB,PeakIL_at_1310_dB,IL_drop_vs_REF_dB,dIL_dV_dB_per_V,I_at_-1V_pA,I_at_-2V_pA
D08,20190526_082853,"(-1,-4)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-4,O,1310.0,IN_3/OUT_3,2500.0,-9.682179120507623,-9.682179120507623,-2.7427090418221285,-0.1654710671576013,-68.81061,-51.464369999999995
D08,20190526_082853,"(-4,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-4,0,O,1310.0,IN_1/OUT_1,500.0,-7.021786405582591,-7.021786405582591,-0.28358350926778986,-0.02481364330139772,-114.0617,-91.6876
D08,20190526_082853,"(-4,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-4,0,O,1310.0,IN_2/OUT_2,1500.0,-8.400477698355264,-8.400477698355264,-1.6622748020404625,-0.13335277807728269,-91.64569,-72.95869
D08,20190526_082853,"(-4,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-4,0,O,1310.0,IN_3/OUT_3,2500.0,-9.643492832183867,-9.643492832183867,-2.9052899358690656,-0.2128631190313037,-67.17661,-52.009119999999996
D08,20190526_082853,"(0,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,0,O,1310.0,IN_1/OUT_1,500.0,-6.112111151218415,-6.112111151218415,-0.38846801996230607,-0.0490486779797883,-115.61200000000001,-94.32723
D08,20190526_082853,"(0,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,0,O,1310.0,IN_2/OUT_2,1500.0,-7.163839492797854,-7.163839492797854,-1.4401963615417452,-0.10308400364822483,-93.78254,-68.68495
D08,20190526_082853,"(0,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,0,O,1310.0,IN_3/OUT_3,2500.0,-8.420461845397982,-8.420461845397982,-2.696818714141873,-0.17453820078087678,-65.58440999999999,-49.07614
D08,20190526_082853,"(2,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,0,O,1310.0,IN_1/OUT_1,500.0,-6.096302557473231,-6.096302557473231,-0.4021104340601802,-0.0328909842505284,-114.0617,-89.38311999999999
D08,20190526_082853,"(2,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,0,O,1310.0,IN_2/OUT_2,1500.0,-7.283883855800501,-7.283883855800501,-1.5896917323874504,-0.11712314367806297,-92.31608,-69.60675
D08,20190526_082853,"(2,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,0,O,1310.0,IN_3/OUT_3,2500.0,-8.59040570499929,-8.59040570499929,-2.896213581586239,-0.19577980778599927,-67.97264,-52.17669
D08,20190526_082853,"(-1,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,2,O,1310.0,IN_1/OUT_1,500.0,-6.004841371016069,-6.004841371016069,-0.28951041994813664,-0.025414545127639483,-115.1092,-91.89709
